Attribute,Bin,Component,N_bin,N_detected,DetRate,MAE_ms,MedAE_ms,F1_100ms,OutlierRate_1000ms
Magnitude,1.5--2.5,P,291,291,1,183.711340206185,19.9999999999996,0.930147058823529,0.00687285223367698
Magnitude,1.5--2.5,S,291,287,0.986254295532646,641.184668989547,60.0000000000005,0.766949152542373,0.0766550522648084
Magnitude,2.5--3.5,P,24,24,1,105.833333333333,39.9999999999995,0.883720930232558,0
Magnitude,2.5--3.5,S,24,23,0.958333333333333,1846.95652173913,189.999999999999,0.545454545454545,0.304347826086957
Magnitude,3.5--6.0,P,20,20,1,80.4999999999998,60,0.823529411764706,0
Magnitude,3.5--6.0,S,20,20,1,644.5,149.999999999999,0.620689655172414,0.15
Distance (km),0.0--5.0,P,100,100,1,42.9999999999998,19.9999999999996,0.958333333333333,0
Distance (km),0.0--5.0,S,100,97,0.97,644.948453608248,50.0000000000007,0.773006134969325,0.0927835051546392
Distance (km),5.0--10.0,P,104,104,1,427.403846153846,29.9999999999994,0.893617021276596,0.0192307692307692
Distance (km),5.0--10.0,S,104,102,0.980769230769231,786.56862745098,75.0000000000002,0.731707317073171,0.0882352941176471
Distance (km),10.0--15.0,P,131,131,1,67.6335877862594,19.9999999999996,0.912863070539419,0
Distance (km),10.0--15.0,S,131,131,1,737.404580152672,70.0000000000003,0.734299516908212,0.106870229007634
SNR (dB),10.0--20.0,P,31,31,1,49.032258064516,19.9999999999996,0.931034482758621,0
SNR (dB),10.0--20.0,S,31,31,1,470.967741935484,69.9999999999994,0.76,0.0645161290322581
SNR (dB),20.0--40.0,P,163,163,1,294.969325153374,30.0000000000002,0.906040268456376,0.0122699386503067
SNR (dB),20.0--40.0,S,163,159,0.975460122699387,811.320754716981,70.0000000000021,0.741312741312741,0.10062893081761
SNR (dB),40.0--100.0,P,141,141,1,56.8085106382977,19.9999999999996,0.935849056603774,0
SNR (dB),40.0--100.0,S,141,140,0.99290780141844,684.214285714286,50.0000000000007,0.746666666666667,0.1
SP Time (s),0.0--3.0,P,244,244,1,193.524590163934,19.9999999999996,0.929824561403509,0.00409836065573771
SP Time (s),0.0--3.0,S,244,239,0.979508196721312,734.686192468619,70.0000000000003,0.735751295336788,0.100418410041841
SP Time (s),3.0--6.0,P,84,84,1,115.714285714286,20,0.901960784313726,0.0119047619047619
SP Time (s),3.0--6.0,S,84,84,1,730,55.0000000000006,0.782608695652174,0.0833333333333333
SP Time (s),6.0--30.0,P,7,7,1,95.7142857142856,40,0.833333333333333,0
SP Time (s),6.0--30.0,S,7,7,1,354.285714285714,249.999999999998,0.6,0.142857142857143
