Experiment,Phase,Tolerance_ms,N_total,N_detected,N_missing,N_within_tolerance,N_outside_tolerance,TP,FP,FN,Precision,Recall,F1,MAE_detected_ms,MedAE_detected_ms,CurrentPrecision,CurrentRecall,CurrentF1,DeltaF1_conventional_minus_current
Full3C,P,50,335,332,3,235,97,235,97,100,0.707831325301205,0.701492537313433,0.704647676161919,72.7108433734939,19.9999999999996,0.707831325301205,0.987394957983193,0.824561403508772,-0.119913727346853
Full3C,P,100,335,332,3,285,47,285,47,50,0.858433734939759,0.850746268656716,0.854572713643178,72.7108433734939,19.9999999999996,0.858433734939759,0.989583333333333,0.919354838709677,-0.0647821250664989
Full3C,P,200,335,332,3,310,22,310,22,25,0.933734939759036,0.925373134328358,0.929535232383808,72.7108433734939,19.9999999999996,0.933734939759036,0.990415335463259,0.961240310077519,-0.0317050776937113
Full3C,S,50,335,330,5,135,195,135,195,200,0.409090909090909,0.402985074626866,0.406015037593985,725.424242424242,70.0000000000003,0.409090909090909,0.964285714285714,0.574468085106383,-0.168453047512398
Full3C,S,100,335,330,5,199,131,199,131,136,0.603030303030303,0.594029850746269,0.598496240601504,725.424242424242,70.0000000000003,0.603030303030303,0.975490196078431,0.745318352059925,-0.146822111458421
Full3C,S,200,335,330,5,239,91,239,91,96,0.724242424242424,0.713432835820896,0.718796992481203,725.424242424242,70.0000000000003,0.724242424242424,0.979508196721312,0.832752613240418,-0.113955620759215
Zonly,P,50,335,332,3,241,91,241,91,94,0.725903614457831,0.719402985074627,0.72263868065967,69.0963855421686,19.9999999999996,0.725903614457831,0.987704918032787,0.836805555555556,-0.114166874895886
Zonly,P,100,335,332,3,290,42,290,42,45,0.873493975903614,0.865671641791045,0.869565217391304,69.0963855421686,19.9999999999996,0.873493975903614,0.989761092150171,0.928,-0.0584347826086958
Zonly,P,200,335,332,3,312,20,312,20,23,0.939759036144578,0.93134328358209,0.935532233883059,69.0963855421686,19.9999999999996,0.939759036144578,0.990476190476191,0.964451313755796,-0.0289190798727375
Zonly,S,50,335,313,22,57,256,57,256,278,0.182108626198083,0.170149253731343,0.175925925925926,947.859424920128,219.999999999999,0.182108626198083,0.721518987341772,0.290816326530612,-0.114890400604686
Zonly,S,100,335,313,22,105,208,105,208,230,0.335463258785943,0.313432835820896,0.324074074074074,947.859424920128,219.999999999999,0.335463258785943,0.826771653543307,0.477272727272727,-0.153198653198653
Zonly,S,200,335,313,22,151,162,151,162,184,0.482428115015974,0.450746268656716,0.466049382716049,947.859424920128,219.999999999999,0.482428115015974,0.872832369942196,0.621399176954732,-0.155349794238683
