Experiment,Phase,Tolerance_ms,ExpectedTotal,TP,FP,FN_missing,FN_outside_tolerance,DetectedWithinTolerance,DetectedOutsideTolerance,MissingPredictions,ConsistencyCheck
Full3C,P,50,335,235,97,3,97,235,97,3,PASS
Full3C,P,100,335,285,47,3,47,285,47,3,PASS
Full3C,P,200,335,310,22,3,22,310,22,3,PASS
Full3C,S,50,335,135,195,5,195,135,195,5,PASS
Full3C,S,100,335,199,131,5,131,199,131,5,PASS
Full3C,S,200,335,239,91,5,91,239,91,5,PASS
Zonly,P,50,335,241,91,3,91,241,91,3,PASS
Zonly,P,100,335,290,42,3,42,290,42,3,PASS
Zonly,P,200,335,312,20,3,20,312,20,3,PASS
Zonly,S,50,335,57,256,22,256,57,256,22,PASS
Zonly,S,100,335,105,208,22,208,105,208,22,PASS
Zonly,S,200,335,151,162,22,162,151,162,22,PASS
